Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,75,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap AttachOrDetach_7014
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,66,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""application_16x"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Resources.Designer.cs,65,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap application_16x
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Settings.cs,22,8,T:System.Configuration.SettingChangingEventArgs,,,,,"private void SettingChangingEventHandler(object sender, System.Configuration.SettingChangingEventArgs e)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Settings.cs,12,8,M:System.Configuration.ApplicationSettingsBase.#ctor,,,,,"public Settings()          {              // // To add event handlers for saving and changing settings, uncomment the lines below:              //              // this.SettingChanging += this.SettingChangingEventHandler;              //              // this.SettingsSaving += this.SettingsSavingEventHandler;              //          }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Settings.cs,12,8,M:System.Configuration.ApplicationSettingsBase.#ctor,,,,,"public Settings()          {              // // To add event handlers for saving and changing settings, uncomment the lines below:              //              // this.SettingChanging += this.SettingChangingEventHandler;              //              // this.SettingsSaving += this.SettingsSavingEventHandler;              //          }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Properties\Settings.Designer.cs,15,74,T:System.Configuration.ApplicationSettingsBase,,,,,ApplicationSettingsBase
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Program.cs,25,16,T:System.Windows.Forms.MessageBox,,,,,"MessageBox.Show(ex.Message + ""\n"" + ex.StackTrace + ""\n"" + ex.Source + ""\n"" + ex.InnerException + ""\n"" + ex.Data + ""\n"" + ex.TargetSite);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Program.cs,25,16,T:System.Windows.Forms.DialogResult,,,,,"MessageBox.Show(ex.Message + ""\n"" + ex.StackTrace + ""\n"" + ex.Source + ""\n"" + ex.InnerException + ""\n"" + ex.Data + ""\n"" + ex.TargetSite);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Program.cs,25,16,M:System.Windows.Forms.MessageBox.Show(System.String),,,,,"MessageBox.Show(ex.Message + ""\n"" + ex.StackTrace + ""\n"" + ex.Source + ""\n"" + ex.InnerException + ""\n"" + ex.Data + ""\n"" + ex.TargetSite);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ReaLTaiizor.UI\RCL.csproj,File,ReaLTaiizor.UI\Program.cs,21,16,T:System.Windows.Forms.Application,,,,,Application.Run(new frmRcl());
